data,date
-0.11,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.125,2016/7/1 0:06
-0.125,2016/7/1 0:06
-0.115,2016/7/1 0:06
-0.105,2016/7/1 0:06
-0.09,2016/7/1 0:06
-0.08,2016/7/1 0:06
-0.08,2016/7/1 0:06
-0.085,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.105,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.125,2016/7/1 0:06
-0.125,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.11,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.085,2016/7/1 0:06
-0.075,2016/7/1 0:06
-0.07,2016/7/1 0:06
-0.07,2016/7/1 0:06
-0.07,2016/7/1 0:06
-0.08,2016/7/1 0:06
-0.085,2016/7/1 0:06
-0.09,2016/7/1 0:06
-0.09,2016/7/1 0:06
-0.09,2016/7/1 0:06
-0.09,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.1,2016/7/1 0:06
-0.105,2016/7/1 0:06
-0.11,2016/7/1 0:06
-0.115,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.115,2016/7/1 0:06
-0.105,2016/7/1 0:06
-0.1,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.1,2016/7/1 0:06
-0.105,2016/7/1 0:06
-0.11,2016/7/1 0:06
-0.115,2016/7/1 0:06
-0.12,2016/7/1 0:06
-0.115,2016/7/1 0:06
-0.115,2016/7/1 0:06
-0.11,2016/7/1 0:06
-0.1,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.095,2016/7/1 0:06
-0.09,2016/7/1 0:07
-0.095,2016/7/1 0:07
-0.095,2016/7/1 0:07
-0.1,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.115,2016/7/1 0:07
-0.115,2016/7/1 0:07
-0.115,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.115,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.095,2016/7/1 0:07
-0.09,2016/7/1 0:07
-0.085,2016/7/1 0:07
-0.085,2016/7/1 0:07
-0.085,2016/7/1 0:07
-0.095,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.13,2016/7/1 0:07
-0.14,2016/7/1 0:07
-0.14,2016/7/1 0:07
-0.14,2016/7/1 0:07
-0.135,2016/7/1 0:07
-0.13,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.1,2016/7/1 0:07
-0.1,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.115,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.125,2016/7/1 0:07
-0.13,2016/7/1 0:07
-0.135,2016/7/1 0:07
-0.135,2016/7/1 0:07
-0.135,2016/7/1 0:07
-0.135,2016/7/1 0:07
-0.13,2016/7/1 0:07
-0.12,2016/7/1 0:07
-0.11,2016/7/1 0:07
-0.105,2016/7/1 0:07
-0.1,2016/7/1 0:07
-0.095,2016/7/1 0:07
-0.09,2016/7/1 0:07
-0.09,2016/7/1 0:07
-0.09,2016/7/1 0:08
-0.095,2016/7/1 0:08
-0.09,2016/7/1 0:08
-0.09,2016/7/1 0:08
-0.08,2016/7/1 0:08
-0.07,2016/7/1 0:08
-0.06,2016/7/1 0:08
-0.05,2016/7/1 0:08
-0.04,2016/7/1 0:08
-0.035,2016/7/1 0:08
-0.035,2016/7/1 0:08
-0.035,2016/7/1 0:08
-0.045,2016/7/1 0:08
-0.055,2016/7/1 0:08
-0.065,2016/7/1 0:08
-0.075,2016/7/1 0:08
-0.08,2016/7/1 0:08
-0.085,2016/7/1 0:08
-0.085,2016/7/1 0:08
-0.08,2016/7/1 0:08
-0.08,2016/7/1 0:08
-0.08,2016/7/1 0:08
-0.08,2016/7/1 0:08
-0.09,2016/7/1 0:08
-0.095,2016/7/1 0:08
